"ComputerName","LogName","Id","Level","ProviderName","TimeCreated","RecordId","MachineName","MessageOneLine","MessageRaw"
"PAP55002588NO02","System","98","정보","Microsoft-Windows-Ntfs","2026-03-23 17:24:56","456093","PAP55002588NO02","볼륨 \\?\Volume{986a9eda-24e9-480f-aa08-8b167e755072} (\Device\HarddiskVolume4) 정상입니다. 작업이 필요 없습니다.","볼륨 \\?\Volume{986a9eda-24e9-480f-aa08-8b167e755072} (\Device\HarddiskVolume4) 정상입니다. 작업이 필요 없습니다."
"PAP55002588NO02","System","98","정보","Microsoft-Windows-Ntfs","2026-03-23 17:24:55","456062","PAP55002588NO02","볼륨 C: (\Device\HarddiskVolume3) 정상입니다. 작업이 필요 없습니다.","볼륨 C: (\Device\HarddiskVolume3) 정상입니다. 작업이 필요 없습니다."
"PAP55002588NO02","System","129","정보","Microsoft-Windows-Hyper-V-Hypervisor","2026-03-23 17:24:53","456048","PAP55002588NO02","하이퍼바이저가 I/O remapping. 하드웨어를 초기화했습니다. true 하드웨어 사용: true 정책: 0x0 사용 기능: 0x43 내부 정보: 0x0 문제: 0x0 추가 정보: 0x0","하이퍼바이저가 I/O remapping.

하드웨어를 초기화했습니다. true
하드웨어 사용: true
정책: 0x0
사용 기능: 0x43
내부 정보: 0x0
문제: 0x0
추가 정보: 0x0"
"PAP55002588NO02","System","153","정보","Microsoft-Windows-Kernel-Boot","2026-03-23 17:24:53","456038","PAP55002588NO02","가상화 기반 보안(정책: VBS Enabled,VSM Required,Hvci,Boot Chain Signer Soft Enforced)은 enabled due to VBS registry configuration입니다.","가상화 기반 보안(정책: VBS Enabled,VSM Required,Hvci,Boot Chain Signer Soft Enforced)은 enabled due to VBS registry configuration입니다."
"PAP55002588NO02","System","55","정보","Microsoft-Windows-Kernel-Processor-Power","2026-03-23 08:28:46","455449","PAP55002588NO02","0 그룹의 11 프로세서의 전원 관리 기능 정보: 유휴 상태 유형: Micro Power Engine Plugin(11 상태) 성능 상태 유형: ACPI Collaborative Processor Performance Control 정격 주파수(MHz): 1300 최대 성능 백분율: 366 최소 성능 백분율: 100 최소 스로틀 백분율: 11","0 그룹의 11 프로세서의 전원 관리 기능 정보:

유휴 상태 유형: Micro Power Engine Plugin(11 상태)

성능 상태 유형: ACPI Collaborative Processor Performance Control
정격 주파수(MHz): 1300
최대 성능 백분율: 366
최소 성능 백분율: 100
최소 스로틀 백분율: 11"
"PAP55002588NO02","System","55","정보","Microsoft-Windows-Kernel-Processor-Power","2026-03-23 08:28:46","455448","PAP55002588NO02","0 그룹의 10 프로세서의 전원 관리 기능 정보: 유휴 상태 유형: Micro Power Engine Plugin(11 상태) 성능 상태 유형: ACPI Collaborative Processor Performance Control 정격 주파수(MHz): 1300 최대 성능 백분율: 366 최소 성능 백분율: 100 최소 스로틀 백분율: 11","0 그룹의 10 프로세서의 전원 관리 기능 정보:

유휴 상태 유형: Micro Power Engine Plugin(11 상태)

성능 상태 유형: ACPI Collaborative Processor Performance Control
정격 주파수(MHz): 1300
최대 성능 백분율: 366
최소 성능 백분율: 100
최소 스로틀 백분율: 11"
"PAP55002588NO02","System","55","정보","Microsoft-Windows-Kernel-Processor-Power","2026-03-23 08:28:46","455447","PAP55002588NO02","0 그룹의 9 프로세서의 전원 관리 기능 정보: 유휴 상태 유형: Micro Power Engine Plugin(11 상태) 성능 상태 유형: ACPI Collaborative Processor Performance Control 정격 주파수(MHz): 1300 최대 성능 백분율: 366 최소 성능 백분율: 100 최소 스로틀 백분율: 11","0 그룹의 9 프로세서의 전원 관리 기능 정보:

유휴 상태 유형: Micro Power Engine Plugin(11 상태)

성능 상태 유형: ACPI Collaborative Processor Performance Control
정격 주파수(MHz): 1300
최대 성능 백분율: 366
최소 성능 백분율: 100
최소 스로틀 백분율: 11"
"PAP55002588NO02","System","55","정보","Microsoft-Windows-Kernel-Processor-Power","2026-03-23 08:28:46","455446","PAP55002588NO02","0 그룹의 8 프로세서의 전원 관리 기능 정보: 유휴 상태 유형: Micro Power Engine Plugin(11 상태) 성능 상태 유형: ACPI Collaborative Processor Performance Control 정격 주파수(MHz): 1300 최대 성능 백분율: 366 최소 성능 백분율: 100 최소 스로틀 백분율: 11","0 그룹의 8 프로세서의 전원 관리 기능 정보:

유휴 상태 유형: Micro Power Engine Plugin(11 상태)

성능 상태 유형: ACPI Collaborative Processor Performance Control
정격 주파수(MHz): 1300
최대 성능 백분율: 366
최소 성능 백분율: 100
최소 스로틀 백분율: 11"
"PAP55002588NO02","System","55","정보","Microsoft-Windows-Kernel-Processor-Power","2026-03-23 08:28:46","455445","PAP55002588NO02","0 그룹의 7 프로세서의 전원 관리 기능 정보: 유휴 상태 유형: Micro Power Engine Plugin(11 상태) 성능 상태 유형: ACPI Collaborative Processor Performance Control 정격 주파수(MHz): 1300 최대 성능 백분율: 366 최소 성능 백분율: 100 최소 스로틀 백분율: 11","0 그룹의 7 프로세서의 전원 관리 기능 정보:

유휴 상태 유형: Micro Power Engine Plugin(11 상태)

성능 상태 유형: ACPI Collaborative Processor Performance Control
정격 주파수(MHz): 1300
최대 성능 백분율: 366
최소 성능 백분율: 100
최소 스로틀 백분율: 11"
"PAP55002588NO02","System","55","정보","Microsoft-Windows-Kernel-Processor-Power","2026-03-23 08:28:46","455444","PAP55002588NO02","0 그룹의 6 프로세서의 전원 관리 기능 정보: 유휴 상태 유형: Micro Power Engine Plugin(11 상태) 성능 상태 유형: ACPI Collaborative Processor Performance Control 정격 주파수(MHz): 1300 최대 성능 백분율: 366 최소 성능 백분율: 100 최소 스로틀 백분율: 11","0 그룹의 6 프로세서의 전원 관리 기능 정보:

유휴 상태 유형: Micro Power Engine Plugin(11 상태)

성능 상태 유형: ACPI Collaborative Processor Performance Control
정격 주파수(MHz): 1300
최대 성능 백분율: 366
최소 성능 백분율: 100
최소 스로틀 백분율: 11"
